design,method,predicted_intervention,Chapter 1,Chapter 2,Chapter 3
Experimental,Randomised controlled trial,Provision of exogenous income via the Child Grants model of Zambia's Social Cash Transfer programme to rural women,,,
Quasi-experimental,Statistical matching,"UNICEF’s Hajati labelled unconditional cash transfer for education, combined with encouragement to enroll in the Makani adolescent empowerment program",,,
Quasi-experimental,Statistical matching,"Expansion and establishment of local farmer cooperatives aimed at improving collective environmental actions such as manure recycling, waste sorting, and wastewater treatment in the context of China's Rural Human Settlements Improvements Initiative.",,,
Quasi-experimental,Regression discontinuity design,Cash transfers from China’s national minimum income program,,,
Qualitative,Other,Community-based open defecation-free (ODF) sanitation interventions in low- and middle-income countries,,,
Quasi-experimental,Other,Introduction of improved cookstove technology (ICT) to reduce household air pollution and improve health outcomes in Sub-Saharan Africa,,,
Quasi-experimental,Fixed effects (incl. DiD),Elimination of financial support (subsidies) for exporting plants in the Chilean manufacturing industry,,,
Quasi-experimental,Statistical matching,Smallholder Horticulture Empowerment and Promotion (SHEP) project including horticulture commercialization support and gender-based decision-making training,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Colombia's land restitution law providing property rights to victims of forced displacement and land dispossession,,,
Quasi-experimental,Fixed effects (incl. DiD),Introduction of a new cable car public transport system in Mexico City,,,
Quasi-experimental,Instrumental variable estimation,Large but temporary labor demand shocks due to a national infrastructure program providing exogenous variation for family members’ migration decisions,,,
Experimental,Randomised controlled trial,Multicomponent hand hygiene intervention (improving accessibility to hand hygiene resources and promoting hand hygiene practices),,,
Quasi-experimental,Regression discontinuity design,A law in Bolivia that introduced benefits and protections for child workers and temporarily lowered the de facto legal working age from 14 to 10,,,
Quasi-experimental,Fixed effects (incl. DiD),Large-scale property tax reform program implemented quasi-randomly across districts in Sierra Leone,,,
Quasi-experimental,Fixed effects (incl. DiD),Abolition of agricultural tax reform in rural China since 2004,,,
Experimental,Randomised controlled trial,"Tianchang Resilience-focused inTervention program (TRT 1 program): 14 weekly 40-min sessions on resilience, delivered in school settings by lay counsellors.",,,
Qualitative,Other,Private Sector Engagement (PSE) interventions in development cooperation,,,
