design,method,intervention
Experimental,Randomised controlled trial,Unconditional cash transfers to rural women via Zambia’s Child Grants program
Quasi-experimental,Statistical matching,Unconditional labelled cash transfer promoting education and adolescent empowerment
Quasi-experimental,Fixed effects (incl. DiD),Expansion of local farmer cooperatives in rural communities
Quasi-experimental,Regression discontinuity design,Cash transfers from the national minimum income program to rural households
Qualitative,Other,Community-based programs promoting open defecation-free practices in LMICs
Quasi-experimental,Other,Introduction of improved cookstove technology to reduce household air pollution
Quasi-experimental,Fixed effects (incl. DiD),Removal of financial subsidies for exporting plants in Chilean manufacturing
Quasi-experimental,Statistical matching,Participation in the Smallholder Horticulture Empowerment and Promotion (SHEP) project
Quasi-experimental,Fixed effects (incl. DiD),Land restitution to victims of forced displacement in Colombia
Quasi-experimental,Fixed effects (incl. DiD),Introduction of a new cable car public transport system
Quasi-experimental,Instrumental variable estimation,Exogenous labor demand shock from a national infrastructure program
Quasi-experimental,Interrupted time series analysis,Multicomponent hand hygiene program for orphanage school children
Quasi-experimental,Regression discontinuity design,Legalized and regulated work for children aged 10-13 in Bolivia
Quasi-experimental,Fixed effects (incl. DiD),Implementation of sub-national property tax reform in selected districts
Quasi-experimental,Fixed effects (incl. DiD),Abolition of agricultural tax for rural migrant workers
Experimental,Randomised controlled trial,"Weekly resilience training sessions for primary school children, led by lay counsellors"
Qualitative,Other,Systematic mapping of private sector engagement interventions in development cooperation
Other,Other,Mapping and summarizing emergency food security interventions' impact evaluations
Quasi-experimental,Fixed effects (incl. DiD),Implementation of digital supervision for basic medical insurance funds
Quasi-experimental,Statistical matching,Implementation of a disaster resettlement program in rural households
Quasi-experimental,Fixed effects (incl. DiD),Implementation of smart agriculture policy across Chinese provinces
Quasi-experimental,Fixed effects (incl. DiD),Targeted fiscal transfers to marginalized counties by national government
Qualitative,Other,Community-based mental health and psychosocial support for refugee women
Quasi-experimental,Interrupted time series analysis,Larval source management to control urban malaria transmission
Quasi-experimental,Fixed effects (incl. DiD),Expansion of moderately scaled swine breeding operations
Quasi-experimental,Statistical matching,Unconditional cash transfers to families with young and unborn children
Quasi-experimental,Fixed effects (incl. DiD),Provision of guaranteed private financing to family farmers via local cooperatives
Quasi-experimental,Fixed effects (incl. DiD),"Child cash transfers to caregivers, assessed by sex of recipient"
Quasi-experimental,Statistical matching,Implementation of public-private partnership projects in infrastructure
Quasi-experimental,Fixed effects (incl. DiD),Substantial minimum wage increase for wage-earning households in Türkiye
Quasi-experimental,Fixed effects (incl. DiD),Gradual rollout of Integrated Medical Insurance Scheme for returning migrant workers
Quasi-experimental,Fixed effects (incl. DiD),Imposition of economic sanctions on countries
Quasi-experimental,Fixed effects (incl. DiD),Paving of the Interoceanic Highway in the Amazon region
Quasi-experimental,Statistical matching,State-funded social health insurance covering inpatient services in Khyber Pakhtunkhwa
Experimental,Randomised controlled trial,Gender-transformative and livelihood-strengthening training for young men
Quasi-experimental,Statistical matching,Direct benefit cash transfers to small and marginal farmers under PM-Kisan
Quasi-experimental,Synthetic control,Implementation of the 1949 Peronist constitutional reform in Argentina
Quasi-experimental,Fixed effects (incl. DiD),2016 demonetisation policy and varying political alignment at the state level
Quasi-experimental,Difference-in-Differences,Government-supported return migration policy for entrepreneurship in home counties
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the SADC Free Trade Area in 2012
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a pilot water rights trading policy in selected Chinese provinces
Qualitative,Other,Nature-based solutions for water management in Africa's arid and semi-arid lands
